id,host_id,property_type,price,weekly_price,monthly_price,security_deposit,cleaning_fee,extra_people,minimum_nights,maximum_nights,availability_30,availability_60,availability_90,availability_365,review_scores_rating
14016896,24396301,Apartment,150,,,250,0,15,2,1125,5,13,30,268,98
14021047,83883620,Apartment,97,,,,,0,1,1125,0,0,0,0,100
14029608,9457606,Apartment,100,,,,,0,3,1125,0,7,13,280,95
14031679,84022888,Apartment,64,,,0,30,30,1,15,14,43,73,73,99
14032456,84032978,Apartment,66,,,200,,0,7,42,0,0,0,0,100
14033113,51279290,House,257,,,400,90,30,2,1125,0,0,0,0,100
14043289,24526370,House,60,,,,,10,1,1125,9,9,9,259,93
14044018,3356028,Apartment,50,,,,15,10,3,1125,0,0,0,0,99
14044069,68551804,Villa,361,,,600,140,30,2,1125,26,52,79,167,94
14044715,26088011,Townhouse,130,,,0,99,0,2,14,18,43,73,163,98
14046525,84208845,House,35,,,,50,0,3,1125,0,0,0,0,
14046607,46428601,House,42,,,,10,0,1,1125,0,0,0,0,
14049305,61033895,Apartment,180,,,134,63,29,1,10000,11,19,37,84,91
14056514,59857984,Apartment,130,,,200,30,0,2,1125,0,0,0,0,
14057864,48462471,Apartment,19,,,130,10,0,7,60,0,0,0,0,
14058655,61881660,Apartment,55,,,200,50,20,7,25,0,0,0,169,100
14058813,40081020,Apartment,136,,,500,85,0,3,1125,0,0,0,0,85
14062562,50172472,House,32,,,150,15,10,1,1125,5,35,65,340,88
14063197,6154982,Apartment,105,,,,65,0,2,1125,0,3,8,214,95
14064462,84438553,Apartment,239,,,500,59,0,2,90,0,0,0,0,
14064799,69265871,Villa,65,,,0,0,0,2,300,13,43,73,348,100
14065284,25393784,Apartment,40,,,150,30,0,3,7,0,0,0,0,100
14076899,83637600,House,125,,,,,20,7,45,14,44,74,164,98
14077119,84598008,Apartment,119,,,250,50,20,5,100,0,6,22,112,98
14077143,84598829,Apartment,360,,,,,0,1,10,14,42,59,319,100
14081629,17391639,House,80,,,0,20,0,1,30,0,0,25,138,97
14082709,17391639,Guest suite,136,,,,25,0,1,30,0,0,25,112,99
14085194,30024676,House,35,,,0,25,20,6,60,19,49,79,354,100
14086672,84710374,House,40,,,140,12,0,2,6,0,0,0,0,80
14091059,84766176,Guest suite,90,,,0,30,10,1,1125,12,35,58,238,100
14092470,6004173,House,60,,,,20,25,2,1125,30,60,90,365,94
14094124,84806429,Townhouse,174,,,125,75,0,3,60,0,0,0,0,100
14094655,8530753,Apartment,119,,,199,69,14,1,1124,25,50,80,355,89
14094892,24129792,Apartment,107,,,0,30,25,3,1125,21,21,21,180,98
14095974,39412850,Apartment,220,,,,,0,3,31,0,0,0,0,98
14096409,2690518,Apartment,132,,,,50,0,3,28,4,22,31,107,100
14098231,84852280,House,274,,,692,138,0,7,1125,29,59,89,364,100
